Cust,pPr30,pPr10,pPr05,pIn0.5,pIn1,pIn3,pCp12,pCp20,pCp32,pClD,pClF,pClE,pCnSl,pCnSp,pCnLk,pBrA,pBrB,pBrC,IPr,Iin,ICp,ICl,Icn,IBr
1,1,3,7,1,3,7,1,7,6,1,2,7,1,5,7,7,5,1,5,8,32,7,34,14
2,1,6,7,1,4,7,1,7,6,1,6,7,1,7,7,7,5,1,6,3,17,10,51,15
3,1,6,7,1,4,7,7,4,1,1,3,7,1,5,7,1,3,7,55,5,5,8,16,9
4,1,6,7,1,4,7,7,1,3,1,5,7,1,5,7,7,1,5,12,9,3,40,20,16
5,1,4,7,1,4,7,1,7,2,1,3,7,1,7,7,3,1,7,56,6,19,9,0,11
6,1,5,7,1,4,7,1,7,7,1,4,7,1,6,7,3,1,7,9,6,0,57,13,15
7,1,7,7,1,6,7,1,7,7,1,3,7,1,2,7,3,7,1,39,12,11,7,19,12
8,1,6,7,1,2,7,1,7,2,1,6,7,1,3,7,5,7,1,33,13,12,25,8,10
9,1,5,7,1,3,7,1,5,7,1,6,7,1,6,7,7,4,1,14,16,17,9,31,13
10,1,7,7,1,3,7,6,7,1,1,5,7,1,4,7,3,7,1,40,10,10,10,15,15
11,1,5,7,1,3,7,7,4,1,1,5,7,1,3,7,4,1,7,20,5,11,37,13,14
12,1,1,7,1,6,7,1,7,4,1,1,7,1,1,7,7,4,1,3,47,28,6,3,14
13,1,7,7,1,5,7,7,5,1,1,6,7,1,6,7,3,1,7,45,9,15,9,10,11
14,1,4,7,1,3,7,7,4,1,1,5,7,1,1,7,7,5,1,7,4,57,17,2,13
15,1,4,7,1,6,7,7,5,1,1,5,7,1,3,7,1,4,7,53,2,5,14,16,10
16,1,6,7,1,7,7,7,1,4,1,3,7,1,4,7,3,1,7,48,1,3,10,26,11
17,1,5,7,1,3,7,7,1,7,1,6,7,1,2,7,1,7,4,11,3,3,50,23,11
18,1,7,7,1,4,7,6,7,1,1,1,7,1,6,7,7,5,1,18,9,42,4,11,16
19,1,6,7,1,4,7,1,7,6,1,3,7,1,3,7,7,4,1,18,11,4,2,48,16
20,1,7,7,1,3,7,1,6,7,1,4,7,1,6,7,1,4,7,46,3,9,14,18,10
21,1,7,7,1,5,7,1,4,7,1,4,7,1,7,7,7,1,3,45,22,9,0,9,15
22,1,6,7,1,7,7,7,7,1,1,5,7,1,3,7,3,7,1,42,8,7,19,11,13
